tiq_codigopais,tiq_fechareserva,tiq_latitud,tiq_longitud,tiq_nombresede,tiq_numeroordenes,tiq_numerotickets,tiq_productodiasemana,tiq_promediodiasreservaanticipada
CO,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
CO,2023-11-22,6.2726953,-75.5671962,Parque Norte Medellín,2,3,Tuesday,7.0
CO,2023-11-22,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
CO,2023-11-22,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Sunday,1.0
CO,2023-11-22,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
US,2023-11-22,6.269973,-75.565726,Parque Explora,1,6,Sunday,5.0
DO,2023-11-22,6.2726953,-75.5671962,Parque Norte Medellín,1,2,Tuesday,1.0
MX,2023-11-22,6.252391,-75.568911,Museo de Antioquia,2,4,Monday,51.0
FI,2023-11-22,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,1,Sunday,0.0
NL,2023-11-22,6.25184,-75.56359,Medellín Bus Tours,1,2,Saturday,1.0
US,2023-11-22,6.269973,-75.565726,Parque Explora,1,2,Saturday,3.0
SV,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
US,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
DE,2023-11-22,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
CO,2023-11-22,6.2213143,-75.5915718,Aeroparque Juan Pablo II,3,6,Saturday,0.7
CO,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,4,10,Sunday,3.5
CO,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
TR,2023-11-22,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
MX,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
CO,2023-11-22,6.269973,-75.565726,Parque Explora,1,2,Saturday,0.0
CO,2023-11-22,6.2726953,-75.5671962,Parque Norte Medellín,1,25,Wednesday,5.0
CO,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,5,8,Saturday,2.4
US,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,0.0
CO,2023-11-22,6.269973,-75.565726,Parque Explora,2,6,Sunday,0.5
AR,2023-11-22,6.269973,-75.565726,Parque Explora,1,6,Sunday,0.0
US,2023-11-22,6.223166,-75.580316,Parque de la Conservación Medellín,3,9,Sunday,0.7
CA,2023-11-22,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
CO,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
CO,2023-11-21,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Sunday,1.0
CO,2023-11-21,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
DE,2023-11-21,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
DO,2023-11-21,6.2726953,-75.5671962,Parque Norte Medellín,1,2,Tuesday,1.0
CO,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,4,10,Sunday,3.5
CO,2023-11-21,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
TR,2023-11-21,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
CO,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
MX,2023-11-21,6.252391,-75.568911,Museo de Antioquia,2,4,Monday,51.0
US,2023-11-21,6.269973,-75.565726,Parque Explora,1,6,Sunday,5.0
CO,2023-11-21,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
CA,2023-11-21,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
US,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,0.0
PL,2023-11-21,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-21,6.2213143,-75.5915718,Aeroparque Juan Pablo II,3,6,Saturday,0.7
NL,2023-11-21,6.25184,-75.56359,Medellín Bus Tours,1,2,Saturday,1.0
AR,2023-11-21,6.269973,-75.565726,Parque Explora,1,6,Sunday,0.0
FI,2023-11-21,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,1,Sunday,0.0
US,2023-11-21,6.269973,-75.565726,Parque Explora,1,2,Saturday,3.0
CO,2023-11-21,6.269973,-75.565726,Parque Explora,2,6,Sunday,0.5
CO,2023-11-21,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
MX,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
US,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,3,9,Sunday,0.7
US,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
CO,2023-11-21,6.2726953,-75.5671962,Parque Norte Medellín,2,3,Tuesday,7.0
CO,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
CO,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,5,8,Saturday,2.4
CO,2023-11-21,6.269973,-75.565726,Parque Explora,1,2,Saturday,0.0
CO,2023-11-21,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
SV,2023-11-21,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
FI,2023-11-20,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,1,Sunday,0.0
CO,2023-11-20,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
CO,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,4,10,Sunday,3.5
CO,2023-11-20,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
US,2023-11-20,6.269973,-75.565726,Parque Explora,1,6,Sunday,5.0
CO,2023-11-20,6.269973,-75.565726,Parque Explora,1,2,Saturday,0.0
NL,2023-11-20,6.25184,-75.56359,Medellín Bus Tours,1,2,Saturday,1.0
CO,2023-11-20,6.269973,-75.565726,Parque Explora,2,6,Sunday,0.5
AR,2023-11-20,6.269973,-75.565726,Parque Explora,1,6,Sunday,0.0
CO,2023-11-20,6.2213143,-75.5915718,Aeroparque Juan Pablo II,3,6,Saturday,0.7
CO,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
CO,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
US,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,0.0
MX,2023-11-20,6.252391,-75.568911,Museo de Antioquia,2,4,Monday,51.0
DE,2023-11-20,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
MX,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
SV,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,5,8,Saturday,2.4
CO,2023-11-20,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
US,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,3,9,Sunday,0.7
GT,2023-11-20,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
US,2023-11-20,6.269973,-75.565726,Parque Explora,1,2,Saturday,3.0
CO,2023-11-20,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
CA,2023-11-20,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
US,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
CO,2023-11-20,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
PL,2023-11-20,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-20,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Sunday,1.0
TR,2023-11-20,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
CA,2023-11-20,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
CO,2023-11-20,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
CA,2023-11-19,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
DE,2023-11-19,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
CO,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
SV,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-19,6.269973,-75.565726,Parque Explora,1,2,Saturday,0.0
CO,2023-11-19,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
CO,2023-11-19,6.269973,-75.565726,Parque Explora,2,6,Sunday,0.5
CO,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
CO,2023-11-19,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
US,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,0.0
NL,2023-11-19,6.25184,-75.56359,Medellín Bus Tours,1,2,Saturday,1.0
CO,2023-11-19,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
CA,2023-11-19,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
TR,2023-11-19,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
PL,2023-11-19,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
US,2023-11-19,6.269973,-75.565726,Parque Explora,1,6,Sunday,5.0
MX,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
US,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
FI,2023-11-19,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,1,Sunday,0.0
US,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,3,9,Sunday,0.7
CO,2023-11-19,6.2213143,-75.5915718,Aeroparque Juan Pablo II,3,6,Saturday,0.7
GT,2023-11-19,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
CO,2023-11-19,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Sunday,1.0
CO,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,4,10,Sunday,3.5
CO,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
CO,2023-11-19,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
AR,2023-11-19,6.269973,-75.565726,Parque Explora,1,6,Sunday,0.0
CO,2023-11-19,6.223166,-75.580316,Parque de la Conservación Medellín,5,8,Saturday,2.4
US,2023-11-19,6.269973,-75.565726,Parque Explora,1,2,Saturday,3.0
CO,2023-11-19,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
CO,2023-11-19,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
CO,2023-11-18,6.2213143,-75.5915718,Aeroparque Juan Pablo II,3,6,Saturday,0.7
US,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,0.0
SV,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
TR,2023-11-18,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
CO,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
GT,2023-11-18,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
PA,2023-11-18,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
CA,2023-11-18,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
CO,2023-11-18,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
BR,2023-11-18,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
CA,2023-11-18,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
CO,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
MX,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
CO,2023-11-18,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
US,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
CO,2023-11-18,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
MX,2023-11-18,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CO,2023-11-18,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
US,2023-11-18,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
CO,2023-11-18,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
US,2023-11-18,6.269973,-75.565726,Parque Explora,1,2,Saturday,3.0
CO,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
PL,2023-11-18,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-18,6.269973,-75.565726,Parque Explora,1,2,Saturday,0.0
CO,2023-11-18,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
CO,2023-11-18,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
CR,2023-11-18,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
NL,2023-11-18,6.25184,-75.56359,Medellín Bus Tours,1,2,Saturday,1.0
DE,2023-11-18,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
CO,2023-11-18,6.223166,-75.580316,Parque de la Conservación Medellín,5,8,Saturday,2.4
CO,2023-11-18,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
PH,2023-11-17,6.280371,-75.50265,Parque Arví,1,1,Saturday,128.0
CO,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
CO,2023-11-17,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
CO,2023-11-17,6.280371,-75.50265,Parque Arví,1,1,Friday,0.0
DE,2023-11-17,6.25184,-75.56359,Medellín Bus Tours,1,1,Friday,4.0
TR,2023-11-17,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
CO,2023-11-17,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
CO,2023-11-17,6.269973,-75.565726,Parque Explora,3,5,Friday,5.7
US,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
CO,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Friday,0.0
PA,2023-11-17,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
CO,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-17,6.269973,-75.565726,Parque Explora,1,3,Saturday,1.0
PL,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Saturday,1.0
BR,2023-11-17,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
MX,2023-11-17,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CR,2023-11-17,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
US,2023-11-17,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
CO,2023-11-17,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
GT,2023-11-17,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
PL,2023-11-17,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
CO,2023-11-17,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
CA,2023-11-17,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
US,2023-11-17,6.280371,-75.50265,Parque Arví,1,2,Saturday,21.0
CA,2023-11-17,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
MX,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
CO,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
US,2023-11-17,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,1.0
CO,2023-11-17,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
CO,2023-11-17,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
CO,2023-11-16,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
PA,2023-11-16,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
MX,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Thursday,2.0
TR,2023-11-16,6.280371,-75.50265,Parque Arví,2,4,Thursday,2.0
US,2023-11-16,6.269973,-75.565726,Parque Explora,2,4,Friday,19.5
GT,2023-11-16,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
BR,2023-11-16,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
CO,2023-11-16,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
CO,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Thursday,2.0
CA,2023-11-16,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
US,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,4,9,Thursday,8.3
PL,2023-11-16,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-16,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
PH,2023-11-16,6.280371,-75.50265,Parque Arví,1,1,Saturday,128.0
CO,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
MX,2023-11-16,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CA,2023-11-16,6.252391,-75.568911,Museo de Antioquia,1,1,Thursday,0.0
US,2023-11-16,6.280371,-75.50265,Parque Arví,1,2,Saturday,21.0
CR,2023-11-16,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
CO,2023-11-16,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
US,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,1.0
CO,2023-11-16,6.269973,-75.565726,Parque Explora,2,4,Friday,0.0
PL,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Saturday,1.0
CO,2023-11-16,6.269973,-75.565726,Parque Explora,1,3,Saturday,1.0
CO,2023-11-16,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
CO,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
US,2023-11-16,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
CO,2023-11-16,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
CO,2023-11-16,6.280371,-75.50265,Parque Arví,1,2,Friday,3.0
CO,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Friday,35.0
CO,2023-11-16,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
MX,2023-11-16,6.252391,-75.568911,Museo de Antioquia,1,1,Friday,9.0
US,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,1.0
CO,2023-11-15,6.2726953,-75.5671962,Parque Norte Medellín,1,1,Wednesday,0.0
CO,2023-11-15,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,7.0
CO,2023-11-15,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
US,2023-11-15,6.269973,-75.565726,Parque Explora,2,4,Friday,19.5
CO,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
CO,2023-11-15,6.269973,-75.565726,Parque Explora,2,4,Friday,0.0
PL,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Saturday,1.0
CO,2023-11-15,6.269973,-75.565726,Parque Explora,1,3,Thursday,2.0
PL,2023-11-15,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,1,Wednesday,7.0
CO,2023-11-15,6.280371,-75.50265,Parque Arví,1,2,Friday,3.0
PA,2023-11-15,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
CO,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Friday,35.0
CA,2023-11-15,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
GT,2023-11-15,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
CO,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,3,5,Thursday,2.0
CO,2023-11-15,6.269973,-75.565726,Parque Explora,1,2,Wednesday,0.0
BR,2023-11-15,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
CO,2023-11-15,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
US,2023-11-15,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
CR,2023-11-15,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
CO,2023-11-15,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
MX,2023-11-15,6.252391,-75.568911,Museo de Antioquia,1,1,Friday,9.0
CO,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
PH,2023-11-15,6.280371,-75.50265,Parque Arví,1,1,Saturday,128.0
ES,2023-11-15,6.269973,-75.565726,Parque Explora,1,1,Thursday,0.0
CO,2023-11-15,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Wednesday,1.0
MX,2023-11-15,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CO,2023-11-15,6.269973,-75.565726,Parque Explora,1,3,Saturday,1.0
US,2023-11-15,6.280371,-75.50265,Parque Arví,1,2,Saturday,21.0
CA,2023-11-14,6.269973,-75.565726,Parque Explora,1,2,Tuesday,2.0
US,2023-11-14,6.25184,-75.56359,Medellín Bus Tours,1,5,Wednesday,0.0
CO,2023-11-14,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Wednesday,6.0
PA,2023-11-14,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
CO,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,6,13,Wednesday,0.5
CO,2023-11-14,6.269973,-75.565726,Parque Explora,2,4,Friday,0.0
CO,2023-11-14,6.280371,-75.50265,Parque Arví,1,2,Friday,3.0
BR,2023-11-14,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
GT,2023-11-14,6.252391,-75.568911,Museo de Antioquia,2,2,Tuesday,1.0
ES,2023-11-14,6.269973,-75.565726,Parque Explora,1,1,Thursday,0.0
PH,2023-11-14,6.280371,-75.50265,Parque Arví,1,1,Saturday,128.0
US,2023-11-14,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
US,2023-11-14,6.269973,-75.565726,Parque Explora,2,4,Friday,19.5
CO,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
US,2023-11-14,6.280371,-75.50265,Parque Arví,1,2,Saturday,21.0
CO,2023-11-14,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
MX,2023-11-14,6.252391,-75.568911,Museo de Antioquia,1,1,Friday,9.0
CO,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-14,6.269973,-75.565726,Parque Explora,1,3,Saturday,1.0
US,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Wednesday,0.0
PL,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Saturday,1.0
CO,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Friday,35.0
PA,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Wednesday,1.0
CR,2023-11-14,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
CO,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,3,5,Thursday,2.0
CR,2023-11-14,6.269973,-75.565726,Parque Explora,1,4,Wednesday,0.0
US,2023-11-14,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,1.0
CO,2023-11-14,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
CO,2023-11-14,6.269973,-75.565726,Parque Explora,1,3,Wednesday,0.0
CO,2023-11-14,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
CO,2023-11-14,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,21.0
MX,2023-11-14,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CO,2023-11-14,6.269973,-75.565726,Parque Explora,1,3,Thursday,2.0
MX,2023-11-13,6.252391,-75.568911,Museo de Antioquia,1,1,Friday,9.0
CO,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,13,47,Sunday,2.2
CO,2023-11-13,6.269973,-75.565726,Parque Explora,1,3,Wednesday,0.0
PA,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Wednesday,1.0
CR,2023-11-13,6.269973,-75.565726,Parque Explora,1,4,Sunday,0.0
CO,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,3,5,Thursday,2.0
CO,2023-11-13,6.269973,-75.565726,Parque Explora,1,3,Saturday,1.0
CO,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,4,Saturday,0.0
CO,2023-11-13,6.269973,-75.565726,Parque Explora,2,4,Friday,0.0
US,2023-11-13,6.269973,-75.565726,Parque Explora,1,1,Sunday,3.0
CO,2023-11-13,6.269973,-75.565726,Parque Explora,1,3,Thursday,2.0
CO,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Friday,35.0
CO,2023-11-13,6.269973,-75.565726,Parque Explora,6,21,Sunday,0.2
US,2023-11-13,6.25184,-75.56359,Medellín Bus Tours,1,5,Wednesday,0.0
CR,2023-11-13,6.269973,-75.565726,Parque Explora,1,4,Wednesday,0.0
BR,2023-11-13,6.252391,-75.568911,Museo de Antioquia,4,8,Sunday,1.0
US,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,5,Wednesday,0.0
US,2023-11-13,6.280371,-75.50265,Parque Arví,1,2,Saturday,21.0
US,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,2,Saturday,1.0
CO,2023-11-13,6.2213143,-75.5915718,Aeroparque Juan Pablo II,1,2,Wednesday,21.0
US,2023-11-13,6.280371,-75.50265,Parque Arví,1,2,Tuesday,17.0
MX,2023-11-13,6.269973,-75.565726,Parque Explora,1,2,Sunday,0.0
CO,2023-11-13,6.2235123,-75.5741647,Museum of Modern Art of Medellín,1,2,Sunday,0.0
ES,2023-11-13,6.269973,-75.565726,Parque Explora,1,1,Thursday,0.0
CO,2023-11-13,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Monday,6.0
PA,2023-11-13,6.269973,-75.565726,Parque Explora,1,8,Sunday,0.0
CO,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,6,13,Wednesday,0.5
CO,2023-11-13,6.2726953,-75.5671962,Parque Norte Medellín,2,4,Wednesday,6.0
US,2023-11-13,6.269973,-75.565726,Parque Explora,2,4,Friday,19.5
CO,2023-11-13,6.280371,-75.50265,Parque Arví,1,2,Friday,3.0
PL,2023-11-13,6.223166,-75.580316,Parque de la Conservación Medellín,1,1,Saturday,1.0
